cidades;cep
Acrelandia;69945-000 a 69949-999
Assis Brasil;69935-000 a 69939-999
Brasileia;69932-000 a 69933-999
Bujari;69926-000 a 69926-999
Capixaba;69931-000 a 69931-999
Cruzeiro do Sul;69980-000 a 69981-999
Epitaciolandia;69934-000 a 69934-999
Feijo;69960-000 a 69969-999
Jordao;69975-000 a 69979-999
Manoel Urbano;69950-000 a 69954-999
Marechal Thaumaturgo;69983-000 a 69984-999
Mancio Lima;69990-000 a 69999-999
Placido de Castro;69928-000 a 69929-999
Porto Acre;69927-000 a 69927-999
Porto Walter;69982-000 a 69982-999
Rio Branco;69900-001 a 69924-999
Rio Branco;69900-001 a 69923-999
Rodrigues Alves;69985-000 a 69989-999
Santa Rosa do Purus;69955-000 a 69959-999
Sena Madureira;69940-000 a 69944-999
Senador Guiomard;69925-000 a 69925-999
Tarauaca;69970-000 a 69974-999
Xapuri;69930-000 a 69930-999
Anadia;57660-000 a 57669-999
Arapiraca;57300-001 a 57319-999
Arapiraca;57300-001 a 57317-999
Atalaia;57690-000 a 57699-999
Barra de Santo Antonio;57925-000 a 57929-999
Barra de Sao Miguel;57180-000 a 57199-999
Batalha;57420-000 a 57424-999
Belo Monte;57435-000 a 57439-999
Belem;57630-000 a 57634-999
Boca da Mata;57680-000 a 57689-999
Branquinha;57830-000 a 57839-999
Cacimbinhas;57570-000 a 57579-999
Cajueiro;57770-000 a 57779-999
Campestre;57968-000 a 57969-999
Campo Alegre;57250-000 a 57254-999
Campo Grande;57350-000 a 57359-999
Canapi;57530-000 a 57534-999
Capela;57780-000 a 57799-999
Carneiros;57535-000 a 57539-999
Cha Preta;57760-000 a 57769-999
Coite do Noia;57325-000 a 57329-999
Colonia Leopoldina;57975-000 a 57979-999
Coqueiro Seco;57140-000 a 57149-999
Coruripe;57230-000 a 57239-999
Craibas;57320-000 a 57324-999
Delmiro Gouveia;57480-000 a 57489-999
Dois Riachos;57560-000 a 57569-999
Estrela de Alagoas;57625-000 a 57629-999
Feira Grande;57340-000 a 57349-999
Feliz Deserto;57220-000 a 57229-999
Flexeiras;57995-000 a 57999-999
Girau do Ponciano;57360-000 a 57369-999
Ibateguara;57890-000 a 57899-999
Igaci;57620-000 a 57624-999
Igreja Nova;57280-000 a 57289-999
Inhapi;57545-000 a 57549-999
Jacare dos Homens;57430-000 a 57434-999
Jacuipe;57960-000 a 57964-999
Japaratinga;57950-000 a 57954-999
Jaramataia;57425-000 a 57429-999
Jequia da Praia;57255-000 a 57256-999
Joaquim Gomes;57980-000 a 57989-999
Jundia;57965-000 a 57967-999
Junqueiro;57270-000 a 57274-999
Lagoa da Canoa;57330-000 a 57339-999
Limoeiro de Anadia;57260-000 a 57264-999
Maceio;57000-001 a 57099-999
Major Isidoro;57580-000 a 57599-999
Mar Vermelho;57730-000 a 57739-999
Maragogi;57955-000 a 57959-999
Maravilha;57520-000 a 57524-999
Marechal Deodoro;57160-000 a 57179-999
Maribondo;57670-000 a 57679-999
Mata Grande;57540-000 a 57544-999
Matriz de Camaragibe;57910-000 a 57919-999
Messias;57990-000 a 57994-999
Minador do Negrao;57615-000 a 57619-999
Monteiropolis;57440-000 a 57441-999
Murici;57820-000 a 57829-999
Novo Lino;57970-000 a 57974-999
Olho D'Agua Grande;57390-000 a 57399-999
Olho D'Agua das Flores;57442-000 a 57444-999
Olho D'Agua do Casado;57470-000 a 57474-999
Olivenca;57550-000 a 57559-999
Ouro Branco;57525-000 a 57529-999
Palestina;57410-000 a 57419-999
Palmeira dos indios;57600-001 a 57614-999
Palmeira dos indios;57600-001 a 57609-999
Pariconha;57475-000 a 57479-999
Paripueira;57935-000 a 57939-999
Passo de Camaragibe;57930-000 a 57934-999
Paulo Jacinto;57740-000 a 57749-999
Penedo;57200-000 a 57209-999
Piacabucu;57210-000 a 57219-999
Pilar;57150-000 a 57159-999
Pindoba;57720-000 a 57729-999
Piranhas;57460-000 a 57469-999
Porto Calvo;57900-000 a 57909-999
Porto Real do Colegio;57290-000 a 57299-999
Porto de Pedras;57945-000 a 57949-999
Poco das Trincheiras;57510-000 a 57514-999
Pao de Acucar;57400-000 a 57409-999
Quebrangulo;57750-000 a 57759-999
Rio Largo;57100-000 a 57119-999
Roteiro;57257-000 a 57259-999
Santa Luzia do Norte;57130-000 a 57139-999
Santana do Ipanema;57500-000 a 57509-999
Santana do Mundau;57840-000 a 57859-999
Satuba;57120-000 a 57129-999
Senador Rui Palmeira;57515-000 a 57519-999
Sao Bras;57380-000 a 57389-999
Sao Jose da Laje;57860-000 a 57889-999
Sao Jose da Tapera;57445-000 a 57459-999
Sao Luis do Quitunde;57920-000 a 57924-999
Sao Miguel dos Campos;57240-001 a 57249-999
Sao Miguel dos Milagres;57940-000 a 57944-999
Sao Sebastiao;57275-000 a 57279-999
Tanque D'Arca;57635-000 a 57639-999
Taquarana;57640-000 a 57659-999
Teotonio Vilela;57265-000 a 57269-999
Traipu;57370-000 a 57379-999
Uniao dos Palmares;57800-000 a 57819-999
Vicosa;57700-000 a 57719-999
Agua Branca;57490-000 a 57499-999
Alvaraes;69540-000 a 69549-999
Amatura;69620-000 a 69629-999
Anama;69445-000 a 69449-999
Anori;69440-000 a 69444-999
Apui;69265-000 a 69279-999
Atalaia do Norte;69650-000 a 69659-999
Autazes;69240-000 a 69249-999
Barcelos;69700-000 a 69729-999
Barreirinha;69160-000 a 69179-999
Benjamin Constant;69630-000 a 69639-999
Beruri;69430-000 a 69434-999
Boa Vista do Ramos;69195-000 a 69199-999
Boca do Acre;69850-000 a 69859-999
Borba;69200-000 a 69229-999
Caapiranga;69425-000 a 69429-999
Canutama;69820-000 a 69829-999
Carauari;69500-000 a 69509-999
Careiro;69250-000 a 69254-999
Careiro da Varzea;69255-000 a 69259-999
Coari;69460-000 a 69469-999
Codajas;69450-000 a 69459-999
Eirunepe;69880-000 a 69889-999
Envira;69870-000 a 69879-999
Fonte Boa;69670-000 a 69679-999
Guajara;69895-000 a 69899-999
Humaita;69800-000 a 69819-999
Ipixuna;69890-000 a 69894-999
Iranduba;69415-000 a 69424-999
Itacoatiara;69100-001 a 69113-999
Itacoatiara;69100-001 a 69109-999
Itamarati;69510-000 a 69519-999
Itapiranga;69120-000 a 69129-999
Japura;69495-000 a 69499-999
Jurua;69520-000 a 69529-999
Jutai;69660-000 a 69669-999
Labrea;69830-000 a 69849-999
Manacapuru;69400-001 a 69414-999
Manacapuru;69400-001 a 69409-999
Manaquiri;69435-000 a 69439-999
Manaus;69000-001 a 69099-999
Manicore;69280-000 a 69299-999
Maraa;69490-000 a 69494-999
Maues;69190-000 a 69194-999
